;Bezeichnung;Standort;Land;Architekt*in 1 Vorname;Architekt*in 1 Nachname;Künstler*innenname 1;Architekt*in 2 Vorname;Architekt*in 2 Nachname;Künstler*innenname 2;Architekt*in 3 Vorname;Architekt*in 3 Nachname;Künstler*innenname 3;Jahr Entwurf;Jahr Fertigstellung;Tags;Erläuterungstext;Ansicht;Grundriss;Schnitt;Lageplan;Detail
15;Postsparkasse;Wien;Österreich;Otto;Wagner;;;;;;;;1904;1906;Öffentliche Bauten+Bank+Wiener Secession+Wettbewerb+Jugendstil+Gesamtkunstwerk+Stahlbeton+Glas+Marmor+Aluminium;ottwag-pos-txt;ottwag-pos-abb;;;;ottwag-pos-det
16;Palais Stoclet;Brüssel;Belgien;Josef;Hoffmann;;;;;;;;1905;1911;Wiener Secession+Jugendstil+Gesamtkunstwerk+Wohnungsbau+Marmor+Metall;Joshof-pal-txt;joshof-pal-abb;;;;
17;Wohnhaus Rue Franklin;Paris;Frankreich;Auguste;Perret;;;;;;;;1903;1904;Wohnungsbau+Stahlbeton+Skelettbau+Glas+Ornament+Dachterrasse;augper-rue-txt;augper-rue-abb;;;;
18;St. Engelbert;Köln;Deutschland;Dominikus;Böhm;;;;;;;;1932;;;;domboe-ste-abb;;;;
19;Maison du Peuple;Brüssel;Belgien;Victor;Horta;;;;;;;;1896;1899;Art Nouveau+Stahl+Glas+Ziegel+Abriss+Ehrlichkeit;vichor-mai-txt;vichor-mai-abb;;;;
20;Börse Amsterdam;Amsterdam;Niederlande;Henri;Berlage;;;;;;;;1896;1903;Ziegelmauerwerk+Wettbewerb+Ehrlichkeit+Gesamtkunstwerk+Sachlichkeit+Fachwerkträger;henber-bör-txt;henber-bör-abb;;;;
21;Haus Perrycroft;Malvern Hills;Vereinigtes Königreich;Charles;Voysey;;;;;;;;1893;;;;;;;;
22;Glasgow School of Art;Glasgow;Vereinigtes Königreich;Charles Rennie;Mackintosh;;;;;;;;1896;1909;Glasgow Style+Wettbewerb+Ziegel+Granit+Glas+Arts-and-Crafts;chamac-gla-txt;chamac-gla-abb;chamac-gla-gru;chamac-gla-sch;;
23;Sullivan Center;Chicago;Vereinigte Staaten;Louis;Sullivan;;;;;;;;1899;1904;Chicagoer Schule+Hochhaus+Kaufhaus+Bürogebäude+Stahl+Skelettbau+Terrakotta;lousul-sul-txt;lousul-sul-abb;;lousul-sul-sch;;
24;Larkin Administration Building;Buffalo;Vereinigte Staaten;Frank Lloyd;Wright;;;;;;;;1904;;;;;frawri-lar-gru;;;
25;Unity Temple;Oak Park;Vereinigte Staaten;Frank Lloyd;Wright;;;;;;;;1906;;;;frawri-uni-abb;frawri-uni-gru;frawri-uni-sch;;
